🍎中央频道,#genre#
CCTV1HD综合频道,http://hms64nc1972679562.live.aikan.miguvideo.com/wh7f454c46tw2035243434_-936330441/wd_r2/cctv/cctv1hd/2500/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=112.97.168.133&timestamp=20220827091538&ContentId=265183188&timezone=UTC&netType=Cellular&clientType=Android&zjAppVersion=531&zjClientId=&mtv_session=d0843ba7502dbb4e7e21e25912d02246&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=557da965ed87d47b2aa4bae3fce7d2a9
CCTV2HD财经频道,http://hms144nc1972679571.live.aikan.miguvideo.com/wh7f454c46tw2146861783_633664197/wd_r2/cctv/cctv2hd/3000/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=112.97.168.133&timestamp=20220827091729&ContentId=265667329&timezone=UTC&netType=Cellular&clientType=Android&zjAppVersion=531&zjClientId=&mtv_session=f21b991e6ff9f3edb3e93eb3647600a3&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=2b5325b1e9adc2a183fcae9a55e22901
CCTV3HD综艺频道,http://hms364nc1972679593.live.aikan.miguvideo.com/wh7f454c46tw2247391754_-1455636086/wd_r2/ocn/cctv3hd/3000/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=112.97.168.133&timestamp=20220827091910&ContentId=265667206&timezone=UTC&netType=Cellular&clientType=Android&zjAppVersion=531&zjClientId=&mtv_session=b9e177ffdd5cbce190fff417ef25cbb8&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=a75cfbb11b3d05a473d819df9dce4487
CCTV4HD中文国际,http://hms144nc1972679570.live.aikan.miguvideo.com/wh7f454c46tw2450343987_684090624/wd_r2/cctv/cctv4hd/3000/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=112.97.168.133&timestamp=20220827092233&ContentId=265667639&timezone=UTC&netType=Cellular&clientType=Android&zjAppVersion=531&zjClientId=&mtv_session=6601e91ffc9d14fae0e5cab137466c98&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=40756602b2282d192eae1b785a116c9e
CCTV4HD中文欧洲,https://epg.pw/stream/4d6d4b653a8d6919e20d074cd567ad7c5cd8a5b9cde3c831114d643780a6567a.m3u8
CCTV4HD中文美洲,https://epg.pw/stream/ea667bc85bcbcad6992374fc86e35ec3b66a7bfcdd4fcd38cda782d17948bc43.m3u8
CCTV5HD体育频道,http://hms444nc1972679600.live.aikan.miguvideo.com/wh7f454c46tw383053771_1111741834/wd_r2/cctv/cctv5hdnew/2500/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=112.97.168.81&timestamp=20220821104944&ContentId=265667565&timezone=UTC&netType=Cellular&clientType=Android&zjAppVersion=531&zjClientId=&mtv_session=c421f6047a31a685de83388de8d1893e&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=bf0212689c8703c8b53c0243d786f741
CCTV5+HD体育赛事,http://hms144nc1972679570.live.aikan.miguvideo.com/wh7f454c46tw2039778628_-1783578242/wd_r2/cctv/cctv5plusnew/2500/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=183.46.194.142&timestamp=20220817103909&ContentId=265106763&timezone=UTC&netType=Wifi&clientType=Android&zjAppVersion=531&zjClientId=&mtv_session=f2ba442ac41f8f21cefbe4ed7528a4df&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=3b557043d7e2e551a5dfe04a4b3c1a54
CCTV6HD电影频道,http://hms24nc1972679558.live.aikan.miguvideo.com/wh7f454c46tw2810014707_-790427635/wd_r2/ocn/cctv6hd/3000/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=112.97.168.133&timestamp=20220827092832&ContentId=265667482&timezone=UTC&netType=Cellular&clientType=Android&zjAppVersion=531&zjClientId=&mtv_session=9e73fb2c5f92f530c5891f4f5f343be2&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=1a9d8b541eb54cdb5628616c171bb78c
CCTV7HD国防军事,http://hms424nc1972679598.live.aikan.miguvideo.com/wh7f454c46tw3134788944_235058747/migu/kailu/20200324/cctv7hd/57/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=112.97.168.133&timestamp=20220827093357&ContentId=265667268&timezone=UTC&netType=Cellular&clientType=Android&zjAppVersion=531&zjClientId=&mtv_session=dabd779c1dcfaec784181e8fcde8ccef&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=5047d71bec2dc2f1d2f43982224830d9
